Shop name,category,remarks,city,district,lat,long,recommended by
勝基黑糖餅 BIFF廣場店 (승기씨앗호떡),美食 (Food),南浦洞BIFF廣場排隊名店，奶油煎至金黃酥脆的餅皮包入滿滿綜合堅果與黑糖糖漿。,釜山,中區 (Jung-gu),35.0984,129.0305,https://www.instagram.com/reel/DX_38tYxyqK/
草梁小麥冷麵 (초량밀면),美食 (Food),釜山代表性地道美食，冰涼酸辣的牛骨小麥冷麵搭配現蒸巨型手工大包子（餃子）。,釜山,東區 (Dong-gu),35.1151,129.0398,https://www.instagram.com/reel/DZ_r56ayMVI/
國際市場美食街 (국제시장 먹거리),美食 (Food),體驗地道路邊攤座席，必吃辣炒年糕、拌粉條（Bibim Dangmyeon）與熱騰騰釜山魚餅湯。,釜山,中區 (Jung-gu),35.1008,129.0289,https://www.instagram.com/reel/DcIG1Z1TIzb/
Club D Oasis 汗蒸幕水上樂園 (클럽디 오아시스),汗蒸幕 (Sauna),位於LCT大樓的頂級無敵海景汗蒸幕，設有無邊際泳池、戶外足浴、露天桑拿與多種主題汗蒸房。,釜山,海雲台區 (Haeundae-gu),35.1601,129.1685,"https://www.instagram.com/reel/DVGZ96hkk9w/
https://www.instagram.com/reel/DZhuTwruM7Y/"
Centum City Spa Land 汗蒸幕 (스파랜드 센텀시티),汗蒸幕 (Sauna),新世界百貨內五星級汗蒸幕，引入地下天然溫泉水，擁有22個不同溫度與風格的主題桑拿房與戶外足浴區。,釜山,海雲台區 (Haeundae-gu),35.1689,129.1294,"https://www.instagram.com/reel/DOvn6n1EqDI/
https://www.instagram.com/reel/DRUPKLzk7Zj/"
Rendezja-Vous 海雲台店 (랑데자뷰 해운대),咖啡廳 (Cafe),濟州島風格網美咖啡廳，木屑鋪地與石牆裝飾，擁有面向海雲台沙灘的大片落地窗打卡點。,釜山,海雲台區 (Haeundae-gu),35.1588,129.1638,https://www.instagram.com/reel/DYGnA0VJY5O/
Coralani 懸崖海景咖啡廳 (코랄라니),咖啡廳 (Cafe),機張超級巨型多層海景咖啡廳，戶外梯田式懶人沙發直面蔚藍大海，適合看海放空。,釜山,機張郡 (Gijang-gun),35.1884,129.2225,https://www.instagram.com/reel/DRuS1w1kuEo/
Waveon Coffee 海景咖啡廳 (웨이브온 커피),咖啡廳 (Cafe),獲建築大獎的機張海岸絕美咖啡廳，招牌松子拿鐵與手沖咖啡，全方位無死角海景觀景台。,釜山,機張郡 (Gijang-gun),35.3218,129.2711,https://www.instagram.com/reel/DIqRhflzsA2/
Off.O 機張烘焙咖啡廳 (오프오),咖啡廳 (Cafe),寬敞舒適的海岸烘焙咖啡廳，每日現烤可頌與鹽可頌，氣氛悠閒。,釜山,機張郡 (Gijang-gun),35.2152,129.2395,https://www.instagram.com/reel/DaAP2i8zhIG/
Ops 麵包店 海雲台店 (옵스 해운대점),烘焙店 (Bakery),釜山殿堂級老牌烘焙坊，必買拳頭大的招牌爆漿泡芙包（Choux à la crème）與潘妮托妮。,釜山,海雲台區 (Haeundae-gu),35.162,129.1607,https://www.instagram.com/reel/DVx-felE6-6/
海雲台藍線公園 尾浦站 (해운대블루라인파크 미포정거장),景點 (Attraction),乘坐繽紛復古天空膠囊列車（Sky Capsule）與海岸列車的起點，沿著海岸線欣賞青沙浦美景，需提前網上預約 sunset 時段。,釜山,海雲台區 (Haeundae-gu),35.1598,129.1728,"https://www.instagram.com/reel/DR_Rm_zksLW/
https://www.instagram.com/reel/DK57OaLzN-A/"
甘川文化村 (감천문화마을),景點 (Attraction),釜山版馬祖/聖托里尼，彩色階梯式山城，必拍小王子與狐狸俯瞰村落景致，設有許多壁畫小巷與文創小店。,釜山,沙下區 (Saha-gu),35.0975,129.0008,https://www.instagram.com/reel/DcaHy0kxSxO/
海東龍宮寺 (해동용궁사),景點 (Attraction),韓國唯一建於海邊懸崖上的古剎，聽著浪濤聲參拜，日出景致極為壯觀。,釜山,機張郡 (Gijang-gun),35.1883,129.2232,https://www.instagram.com/reel/C9CkrvZvGUe/
荒嶺山烽火台觀景台 (황령산 봉수대),景點 (Attraction),俯瞰釜山全市360度夜景最佳地點，同時遠眺廣安大橋、西面市區與釜山港璀璨燈火。,釜山,南區 (Nam-gu),35.1572,129.0827,https://www.instagram.com/p/DWRKHdVkmlk/
松島海上纜車 (송도해상케이블카),景點 (Attraction),跨海空中纜車，可選擇底板全透明的水晶車廂，將松島海灣與龍宮雲橋美景盡收眼底。,釜山,西區 (Seo-gu),35.0762,129.0254,https://www.instagram.com/reel/DOVJJuOjyhM/
五六島天空步道 Skywalk (오륙도 스카이워크),景點 (Attraction),懸空於35公尺海邊懸崖上的 U 型玻璃步道，腳下即是驚濤拍岸，景色極具震撼力。,釜山,南區 (Nam-gu),35.1017,129.1238,https://www.instagram.com/p/DZHlbNwEvYP/
釜山 X the SKY 觀景台 (부산 엑스더스카이),景點 (Attraction),位於LCT大樓98-100樓，韓國第二高樓觀景台，擁有全球最高的星巴克門市與透明玻璃天空步道。,釜山,海雲台區 (Haeundae-gu),35.16,129.1688,https://www.instagram.com/reel/DXTpup4mmQu/
白淺灘文化村 (흰여울문화마을),景點 (Attraction),影島懸崖邊的白色浪漫村落，沿海散步道、海景洞穴打卡點與眾多質感海景咖啡廳集結地。,釜山,影島區 (Yeongdo-gu),35.0786,129.0441,https://www.instagram.com/reel/DIYoj8WzfNJ/
太宗台台宗園 (태종대),景點 (Attraction),釜山經典自然景區，可搭乘丹努比（Danubi）觀光列車遊覽壯麗海岸峭壁、影島燈塔與展望台。,釜山,影島區 (Yeongdo-gu),35.0531,129.0872,https://www.instagram.com/reel/DUiffgykpxz/
三進魚餅 影島本店 (삼진어묵 영도본점),美食 (Food),釜山歷史最悠久的魚餅品牌創始店，烘焙坊形式挑選各式創新魚餅，亦提供手作魚餅體驗活動。,釜山,影島區 (Yeongdo-gu),35.0911,129.0378,https://www.instagram.com/reel/DSANwe6kggI/
釜山3天2夜自由行總攻略,攻略 (Guide),重點整理：D1 海雲台/天空膠囊 -> 藍線公園 -> Spa Land -> 廣安大橋夜景；D2 甘川文化村 -> BIFF廣場 -> 札嘎其市場 -> 松島纜車；D3 機張Waveon咖啡 -> 海東龍宮寺 -> 西面商圈購物。,釜山,全區 (General),,,https://www.instagram.com/p/DL93AGrpp5v/
釜山 Pass (Visit Busan Pass) 神卡省錢攻略,攻略 (Guide),重點整理：Visit Busan Pass 24/48小時卡免費包含天空膠囊列車、Spa Land、Club D Oasis、松島纜車、X the Sky 等熱門景點，建議集中於24小時內開卡精算效益最大化。,釜山,全區 (General),,,https://www.instagram.com/reel/DMK2kQuSZy8/
釜山無敵海景飯店與住宿挑選指南,攻略 (Guide),重點整理：三大住宿熱點分析：1. 廣安里（看無人機秀與大橋夜景）、2. 海雲台（高級渡假飯店與沙灘散步）、3. 西面（地鐵交會點，購物與美食最便利）。,釜山,全區 (General),,,https://www.instagram.com/reel/DMQAGv1zwyg/
釜山十大必吃地道美食美食地圖,攻略 (Guide),重點整理：必吃清單包含：1. 豬肉湯飯、2. 黑糖堅果餅、3. 小麥冷麵、4. 烤海鰻/烤貝、5. 李在摩披薩、6. 釜山魚餅、7. 盲鰻、8. 韓牛排骨、9. 生魚片、10. 炸雞。,釜山,全區 (General),,,https://www.instagram.com/reel/DOpRz2tD9dp/
廣安里海上無人機秀 (Drone Show) 觀賞攻略,攻略 (Guide),重點整理：每週六晚上舉行兩場主題無人機表演。最佳觀賞位置為廣安里海水浴場中央沙灘，或提前預約海景第一排咖啡廳戶外座。,釜山,水營區 (Suyeong-gu),,,https://www.instagram.com/reel/DadBpFATDtG/
釜山交通與實用App懶人包,攻略 (Guide),重點整理：韓國不適用 Google Maps 步行導航，務必下載 Naver Map 或 KakaoMap；搭計程車推薦 Kakao T；地鐵與公車使用 T-Money 或 Cashbee 交通卡即可。,釜山,全區 (General),,,"https://www.instagram.com/reel/C999DOIS5Fv/
https://www.instagram.com/reel/Dbc6fmJzVNt/
https://www.instagram.com/reel/DU7-WExCbM7/"
하선집 (Ha Seon Jip 燒肉),美食 (Food),獲得韓國藍絲帶認證（韓版米其林）的高級炭火燒肉，全程店員桌邊代烤，小菜超過十種，提供水冷麵、雜菜與生牛肉塔。,釜山,海雲台區 (Haeundae-gu),35.1685,129.1721,https://www.instagram.com/p/DX_oaLmhbo-/
Club D Oasis (클럽디 오아시스),景點/體驗 (Spot/Activity),海雲台無敵海景渡假村級汗蒸幕與露天足湯，擁有5大主題汗蒸房，可搭配 Visit Busan Pass 免費兌換4小時體驗。,釜山,海雲台區 (Haeundae-gu),35.1601,129.1678,https://www.instagram.com/p/DZr9jNNzVFx/
가득샌드 (Gadeuk Sand 釜山限定夾心餅),購物/伴手禮 (Shopping),釜山金海機場免稅店限定伴手禮，10mm特厚夾心餅乾，海鹽焦糖與草莓口味極受歡迎。,釜山,江西區 (Gangseo-gu),35.1795,128.9382,https://www.instagram.com/p/DVGZ96hkk9w/
삼초전 (Samchojeon 手工排骨豬肉餅),美食 (Food),釜田市場熱門排隊美食，主打現烤手工排骨豬肉餅，多汁扎實，晚來容易售罄。,釜山,釜山鎮區 (Busanjin-gu),35.1623,129.0601,https://www.instagram.com/p/DTfRpoOkjtb/
명란김밥 (明卵紫菜包飯),美食 (Food),釜田市場超人氣排隊名店，滿滿明太子與配料的傳統韓式紫菜包飯，CP值極高。,釜山,釜山鎮區 (Busanjin-gu),35.1625,129.0603,https://www.instagram.com/p/DTfRpoOkjtb/
다리원 대왕붕어빵 (大王鯛魚燒),美食 (Food),釜田市場特色巨型大王鯛魚燒，內餡爆滿，有紅豆與奶油多種經典風味。,釜山,釜山鎮區 (Busanjin-gu),35.1621,129.0598,https://www.instagram.com/p/DTfRpoOkjtb/
83해치 (83獬豸廣安里店),美食 (Food),廣安里超高人氣烤肉店，專人代烤豬五花與豬頸肉，小菜多樣且服務親切。,釜山,水營區 (Suyeong-gu),35.1542,129.1185,https://www.instagram.com/p/DZhuTwruM7Y/
돈고래조개구이 (돈고래廣安里店),美食 (Food),廣安里海景烤貝殼與黑豬肉專賣店，食材新鮮且能遠眺廣安大橋夜景。,釜山,水營區 (Suyeong-gu),35.1538,129.1191,https://www.instagram.com/p/DZhuTwruM7Y/
거송갈비찜 (巨松燉排骨海雲台店),美食 (Food),大邱名店海雲台分店，特製醬汁燉煮至骨肉分離的香辣燉排骨，白飯醬汁拌飯一流。,釜山,海雲台區 (Haeundae-gu),35.1628,129.1584,https://www.instagram.com/p/DZhuTwruM7Y/
DIART (디아트 土耳其卡伊馬克麵包),咖啡廳 (Cafe),松亭海灘附近精緻咖啡廳，主打土耳其奶油（Kaymak）搭配現烤土耳其麵包與手沖咖啡。,釜山,海雲台區 (Haeundae-gu),35.1782,129.1989,https://www.instagram.com/p/DZhuTwruM7Y/
